_GAMENAME|BLOCKPOST
_LANGUAGE_TRANSLATION|ONDY
_LANGUAGE_NAME|ČESKY
_BONUS_LEFT|PŘÍŠTÍ BONUS ZA {0}h {1}m
_DAY|DEN
_COME_EVER_DAY|PŘIHLAŠ SE DO HRY KAŽDÝ DEN A VYHRAJ BONUS!
_CONTINUE|POKRAČOVAT
_COLLECT|VZÍT
_RECEIVED|DOSTAL JSI
_REQUIRES_KEY|POŽADOVÁN KLÍČ
_GOTO_STORE|JÍT DO OBCHODU
_USED_KEY|KLÍČ POUŽIT
_OPEN_CASE_EMUL|OTEVŘÍT KUFŘÍK (EMULATOR)
_OPEN_CASE|OTEVŘÍT KUFŘÍK
_SOLDIER|VOJÁK
_SERGEANT|SERŽANT
_COMMANDER|COMANDÉR
_CAPTAIN|CAPTÁN
_LEAVE_CLAN|OPUSTIT KLAN
_LEAVE_CLAN_CONFIRM|OPUSTIT KLAN (POTVRDIT)
_CANCEL|ODEJÍT
_FIND_CLAN|NAJÍT KLAN
_CREATE_CLAN|VYTVOŘIT KLAN
_LOOKFOR|NAJÍT
_SEARCH|HLEDÁNÍ...
_CLAN_NAME|NÁZEV KLANU
_PARTY|SPOLUHRÁČI
_FOUNDER|VLASTNÍK
_ADMISSION|PŘIJETÍ
_SUBMISSION_FOR_BID|PRO PŘIJETÍ DO KLANU POTŘEBUJEŠ 10. ÚROVEŇ
_CLAN_NOT_ACCEPT|KLANOVÉ POZVÁNKY ODMÍTNUTY
_APPLY_TO_CLAN|POŽADOVAT KLANOVÉ PŘIJETÍ
_SEND|POSLAT
_IS_OPEN|OTEVŘENO
_IS_CLOSE|ZAVŘENO
_SHOW_LAST_CLANS|POSLEDNÍCH 25 KLANŮ ZOBRAZENO
_REBUILD_CLAN|OBNOVIT KLAN
_CREATURE|VYTVÁŘENÍ...
_CLAN_CREATION_AVAILABLE|VYTVOŘENÍ KLANU VYŽADUJE 15. ÚROVEŇ
_ATTENTION_NAME|Note: Méno může obsahovat pouze ruská a anglická písmena<br>můžeš také použít čísla a symboly '_' '.'<br>minimální délka jména jsou 3 znaky, maximálně 16
_NUMBER_POSTS|POČET ZPRÁV:
_RENAME_CLAN|PŘEJMENOVAT KLAN
_CLAN_STATUS|STATUS KLANU
_CLAN_EXPANSION|EXPANDOVAT KLAN
_REMOVE_CLAN|VYMAZAT KLAN
_REMOVE_CLAN_CONFIRM|VYMAZAT CLAN (POTVRDIT)
_AVAILABLE_RENAME|Dostupný počet přejmenování:
_RENAME|PŘEJMENOVAT
_RETURN|VRÁTIT SE
_CURRENT_STATUS_CLAN_OPEN|Aktuální status klanu <color=#FF0>opened</color>
_CLAN_TAKES_APPLICATION|Klan přijal žádost o přijetí
_CURRENT_STATUS_CLAN_CLOSE|Aktuální status klanu <color=#FF0>closed</color>
_CLAN_NOT_ACCEPT_APPLICATION|Klan nepřijal žádost o přijetí
_CHANGE_STATUS|ZMĚNIT STATUS
_CURRENT_NUMBER_SLOTS|Aktuální místo <color=#FF0>
_YOUR_CLAN_MAXIMUM|<color=#0F0>Tvůj klan dosáhl maximální počet 200 míst</color>
_SLOTS_AFTER_EXPANSION|Místa po expandování
_MAXIMUM_200|(maximum 200)
_COST_OPERATION|Operace stojí 50 mincí!
_PLACE_WEAPON_CASE|Vlož 3 zbraně pro výměnu <color=red>(weapons will be destroyed permanently)</color>, in result you will receive a special case.
_PLACE_WEAPON_WEAPON|Vlož 3 zbraně pro modernizaci <color=red>(weapons will be destroyed permanently)</color>, in result you will receive a modded weapon.
_PLACE_CASE_2_COIN|Vlož 1 kufřík pro prodání <color=red>(case will be delete from inventory permanently)</color>, dostaneš za něj 2 mincí.
_PLACE_CASE_3_COIN|Vlož 1 kufřík pro prodání <color=red>(case will be delete from inventory permanently)</color>, dostaneš za něj 1 minci.
_PLACE_CASE_1_COIN|Vlož 1 kufřík pro prodání <color=red>(case will be delete from inventory permanently)</color>, dostaneš za něj 1 minci.
_WAITING_SERVER|ČEKÁNÍ NA ODPOVĚĎ SERVERU
_START_DISARMAMENT|ŽAČÍT VÝMĚNU
_START_UPGRADE_NOT|ZAČÍT MODERNIZACI (IN DEVELOPING)
_SALE_WILL_BE|PRODEJ BUDE MOŽNÝ
_START_SALE|ZAČÍT PRODEJ
